date,pm25,pm10,no2,so2,o3,co,ws,wd,temp,rh
2024-01-01 00:00,55.2,102.1,28.3,5.1,42.3,420,1.2,180,27.5,78
2024-01-01 01:00,58.7,111.3,31.0,4.9,39.1,450,0.9,195,27.2,80
2024-01-01 02:00,62.1,115.0,29.7,6.2,38.7,480,1.5,200,27.0,81
2024-01-01 03:00,65.4,120.2,27.5,5.8,37.2,510,1.3,210,26.8,82
2024-01-01 04:00,61.3,112.5,26.1,5.4,36.8,495,1.8,190,26.5,83
2024-01-01 05:00,58.9,108.7,24.3,4.8,38.1,460,2.1,175,26.3,82
2024-01-01 06:00,62.5,118.3,32.7,6.1,36.2,490,1.6,160,26.8,81
2024-01-01 07:00,75.3,140.8,45.2,7.8,33.5,560,2.3,145,27.5,79
2024-01-01 08:00,88.7,165.2,58.9,9.2,29.8,630,2.8,130,28.2,76
2024-01-01 09:00,95.4,178.5,65.3,10.1,27.5,680,3.2,125,29.1,73
2024-01-01 10:00,92.8,172.1,62.8,9.7,28.9,660,3.8,115,30.0,70
2024-01-01 11:00,85.6,158.3,55.4,8.5,31.2,610,4.2,110,30.8,67
2024-01-01 12:00,78.9,145.2,48.7,7.9,34.6,570,4.8,105,31.5,64
2024-01-01 13:00,72.5,132.4,44.2,7.1,37.8,540,5.1,100,31.8,63
2024-01-01 14:00,68.7,125.1,41.5,6.8,40.2,510,5.3,98,32.0,62
2024-01-01 15:00,65.3,118.7,39.8,6.4,42.5,490,5.0,95,31.7,63
2024-01-01 16:00,70.1,130.2,44.3,7.2,39.1,530,4.5,100,31.2,64
2024-01-01 17:00,80.5,152.1,52.7,8.6,35.4,590,3.8,110,30.5,66
2024-01-01 18:00,90.2,170.5,60.1,9.5,31.2,650,3.1,125,29.8,68
2024-01-01 19:00,98.7,185.3,68.5,10.8,28.5,710,2.5,140,29.2,70
2024-01-01 20:00,105.3,198.7,72.1,11.5,26.3,760,2.1,155,28.7,72
2024-01-01 21:00,102.8,193.5,70.3,11.1,27.1,740,1.8,168,28.3,74
2024-01-01 22:00,95.6,180.2,65.8,10.3,29.4,700,1.5,175,27.9,76
2024-01-01 23:00,85.3,162.7,58.2,9.1,32.7,650,1.2,182,27.5,78
2024-01-02 00:00,78.5,148.1,51.3,8.3,35.9,600,1.0,190,27.1,80
2024-01-02 01:00,72.1,136.4,46.8,7.5,38.2,560,0.8,198,26.8,81
2024-01-02 02:00,68.7,128.5,43.5,7.0,40.1,535,1.1,205,26.5,82
2024-01-02 03:00,65.4,122.3,41.2,6.6,41.5,510,1.3,215,26.2,83
2024-01-02 04:00,62.1,116.7,39.5,6.2,42.3,490,1.5,220,26.0,84
2024-01-02 05:00,59.8,111.2,37.8,5.9,43.1,475,1.8,210,25.8,83
2024-01-02 06:00,65.3,122.5,43.6,6.9,40.8,515,2.1,200,26.3,81
2024-01-02 07:00,78.9,148.7,55.2,8.7,36.2,580,2.5,185,27.0,79
2024-01-02 08:00,92.5,172.4,66.8,10.2,31.5,660,2.9,170,27.8,76
2024-01-02 09:00,98.7,183.1,72.5,11.1,28.9,710,3.4,158,28.7,73
2024-01-02 10:00,96.3,179.5,70.1,10.8,29.7,695,3.9,148,29.5,70
2024-01-02 11:00,89.5,165.2,63.4,9.8,32.5,640,4.3,140,30.2,68
2024-01-02 12:00,82.7,151.8,57.2,9.0,35.8,600,4.7,133,30.9,65
2024-01-02 13:00,76.4,141.3,51.8,8.3,38.9,565,5.0,128,31.3,63
2024-01-02 14:00,71.2,131.5,47.3,7.7,41.5,535,5.2,122,31.6,62
2024-01-02 15:00,67.8,125.2,44.1,7.2,43.8,510,5.1,118,31.4,62
2024-01-02 16:00,72.5,134.7,48.6,7.9,40.5,545,4.6,112,30.9,64
2024-01-02 17:00,83.2,155.8,57.3,9.1,36.1,605,3.9,118,30.2,66
2024-01-02 18:00,93.5,175.3,66.2,10.2,31.8,670,3.2,128,29.5,68
2024-01-02 19:00,101.8,191.2,73.5,11.3,28.1,730,2.6,142,28.9,71
2024-01-02 20:00,107.5,203.1,78.2,12.1,25.9,780,2.2,155,28.4,73
2024-01-02 21:00,104.3,196.8,75.6,11.7,26.8,755,1.9,165,28.0,75
2024-01-02 22:00,97.2,183.5,68.9,10.8,29.2,710,1.6,172,27.7,77
2024-01-02 23:00,87.1,165.4,61.3,9.5,32.5,660,1.3,180,27.3,79
2024-02-01 00:00,48.5,91.2,21.5,4.1,51.2,395,2.8,255,26.2,72
2024-02-01 03:00,44.2,83.5,18.9,3.7,54.8,370,3.2,268,25.8,74
2024-02-01 06:00,50.1,95.4,25.3,4.8,48.3,415,3.8,248,26.5,70
2024-02-01 09:00,65.3,122.1,38.7,7.1,40.5,510,4.5,230,28.3,65
2024-02-01 12:00,72.8,137.5,46.2,8.5,36.9,565,5.2,218,30.1,60
2024-02-01 15:00,68.5,129.3,42.1,7.8,39.5,535,5.5,210,30.5,59
2024-02-01 18:00,78.9,149.5,52.3,9.3,34.1,610,4.2,222,29.3,63
2024-02-01 21:00,88.5,167.3,61.5,10.5,29.8,675,3.1,238,28.5,67
2024-03-01 00:00,41.2,77.8,18.5,3.5,56.8,355,3.5,310,27.5,68
2024-03-01 06:00,47.5,89.5,23.8,4.5,51.5,398,4.2,295,28.1,65
2024-03-01 12:00,58.9,111.2,33.5,6.3,45.1,468,5.8,278,31.2,58
2024-03-01 18:00,68.2,128.8,44.5,8.1,38.5,538,5.1,263,29.5,62
2024-04-01 00:00,37.5,70.8,16.8,3.1,61.5,330,4.1,345,28.5,66
2024-04-01 06:00,43.2,81.5,21.5,4.0,55.8,372,4.9,330,29.2,63
2024-04-01 12:00,52.8,99.5,29.2,5.6,49.5,430,6.2,315,32.1,56
2024-04-01 18:00,61.5,116.2,39.5,7.3,43.2,498,5.5,302,30.2,60
2024-05-01 00:00,33.5,63.2,15.2,2.8,66.5,308,4.5,15,29.5,63
2024-05-01 06:00,39.2,74.1,19.5,3.6,60.2,345,5.3,5,30.1,60
2024-05-01 12:00,48.5,91.8,26.8,5.1,53.8,402,6.8,352,33.2,53
2024-05-01 18:00,57.8,109.3,36.8,6.9,47.1,468,6.0,342,31.2,57
2024-06-01 00:00,30.8,58.5,13.5,2.5,71.2,285,5.1,42,30.2,61
2024-06-01 06:00,36.5,69.2,17.8,3.3,64.5,322,6.1,30,30.9,58
2024-06-01 12:00,44.5,84.2,24.5,4.8,57.9,378,7.5,18,34.1,50
2024-06-01 18:00,53.2,100.8,33.8,6.5,51.2,435,6.7,10,31.8,55
2024-07-01 00:00,27.5,52.1,11.8,2.1,76.5,262,5.8,88,31.0,59
2024-07-01 06:00,32.1,61.2,15.5,2.9,69.8,295,6.8,75,31.5,56
2024-07-01 12:00,39.5,75.1,22.1,4.2,62.8,342,8.5,62,35.0,48
2024-07-01 18:00,48.2,91.5,31.2,6.1,55.5,405,7.8,52,32.5,52
2024-08-01 00:00,29.2,55.5,12.5,2.3,74.8,272,5.5,132,31.2,58
2024-08-01 06:00,34.5,65.8,16.2,3.1,68.1,308,6.5,120,31.8,55
2024-08-01 12:00,42.1,79.8,23.2,4.6,60.8,362,8.1,108,35.5,47
2024-08-01 18:00,51.5,97.2,32.1,6.2,53.5,422,7.4,98,33.1,51
2024-09-01 00:00,39.5,74.8,17.2,3.2,64.5,340,4.8,178,30.5,62
2024-09-01 06:00,45.8,86.5,22.1,4.1,58.5,382,5.6,163,31.1,59
2024-09-01 12:00,54.5,102.8,30.1,5.9,52.5,445,6.8,148,33.9,52
2024-09-01 18:00,65.2,123.1,41.5,7.7,45.5,518,6.1,136,31.8,56
2024-10-01 00:00,50.5,95.5,23.2,4.6,57.1,418,4.0,222,29.2,65
2024-10-01 06:00,58.1,109.5,29.5,5.6,51.2,462,4.8,208,29.8,62
2024-10-01 12:00,68.5,129.1,39.5,7.3,44.5,535,5.9,193,32.8,55
2024-10-01 18:00,82.8,157.1,53.5,9.5,37.5,638,5.2,180,30.5,59
2024-11-01 00:00,61.2,115.8,28.5,5.8,50.2,492,3.4,268,28.5,68
2024-11-01 06:00,70.5,132.8,36.1,7.0,43.8,558,4.1,252,29.2,65
2024-11-01 12:00,82.1,155.5,47.5,8.8,37.1,645,5.2,238,32.1,58
2024-11-01 18:00,98.5,186.2,62.5,11.1,30.2,758,4.5,225,30.1,62
2024-11-15 00:00,72.5,137.1,34.2,6.8,44.5,572,2.9,275,27.8,70
2024-11-15 06:00,82.8,156.5,43.5,8.2,38.1,648,3.6,260,28.5,67
2024-11-15 12:00,96.5,182.1,56.8,10.5,31.5,752,4.6,245,31.5,60
2024-11-15 18:00,115.2,218.3,74.5,13.1,24.2,892,3.9,232,29.5,64
2024-12-01 00:00,71.2,135.1,33.5,6.7,43.8,562,3.0,312,27.8,71
2024-12-01 06:00,81.5,154.5,42.5,8.1,37.5,638,3.7,298,28.5,68
2024-12-01 12:00,95.2,180.5,56.1,10.5,30.8,748,4.8,282,31.5,61
2024-12-01 18:00,115.5,218.8,75.1,13.2,23.5,895,4.0,270,29.5,65
2024-12-15 00:00,78.5,148.8,38.1,7.5,41.2,615,2.7,318,27.2,73
2024-12-15 06:00,90.2,170.8,48.5,9.2,35.1,705,3.4,305,27.9,70
2024-12-15 12:00,106.5,201.5,63.5,11.8,27.8,832,4.5,288,30.8,63
2024-12-15 18:00,128.8,243.5,84.2,14.8,21.2,1005,3.7,275,28.8,67
2024-12-25 00:00,95.2,180.3,45.2,9.0,36.8,748,2.5,322,26.9,75
2024-12-25 06:00,108.5,205.2,57.8,10.9,30.5,852,3.2,308,27.6,72
2024-12-25 12:00,125.3,237.1,75.1,13.5,24.1,982,4.2,292,30.5,65
2024-12-25 18:00,148.2,280.5,98.5,16.8,17.5,1158,3.5,278,28.5,69
2024-12-31 00:00,88.5,167.3,42.1,8.5,38.5,695,2.8,315,27.0,74
2024-12-31 06:00,101.2,191.5,54.2,10.2,32.1,795,3.5,300,27.7,71
2024-12-31 12:00,118.5,224.2,70.8,12.8,25.8,928,4.5,285,30.5,64
2024-12-31 18:00,142.1,268.8,92.5,15.9,18.8,1112,3.8,272,28.5,68
2024-12-31 21:00,155.3,293.5,105.2,17.5,15.2,1215,2.8,265,27.8,70
2024-12-31 23:00,165.8,313.2,112.8,18.9,13.1,1298,2.2,258,27.2,72
